Year,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR
2021-2022,Joe Gomez,eng ENG,DF,Liverpool,24,1997,8,4,331,3.7,0,1,0,0,2,0,0,0,0.8,11,36,29
2021-2022,Charlie Goode,eng ENG,DF,Brentford,25,1995,6,4,450,5,0,0,0,0,3,0,0.1,0.1,1,5,18,9
2021-2022,Anthony Gordon,eng ENG,MFFW,Everton,20,2001,35,25,2285,25.4,4,2,0,0,4,0,3.5,3.5,3.8,74,51,137
2021-2022,Kaide Gordon,eng ENG,FW,Liverpool,16,2004,1,0,9,0.1,0,0,0,0,0,0,0.4,0.4,0,1,0,3
2021-2022,Dan Gosling,eng ENG,MF,Watford,31,1990,4,2,166,1.8,1,0,0,0,0,0,0.2,0.2,0,2,4,5
2021-2022,Demarai Gray,eng ENG,MFFW,Everton,25,1996,34,28,2338,26,5,4,0,0,3,0,4,4,3.6,93,59,169
2021-2022,Jack Grealish,eng ENG,FW,Manchester City,25,1995,26,22,1914,21.3,3,3,0,0,3,0,5.3,5.3,6,153,100,267
2021-2022,Mason Greenwood,eng ENG,FWMF,Manchester Utd,19,2001,18,16,1271,14.1,5,1,0,0,1,0,4.3,4.3,1.8,48,39,109
2021-2022,Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,7,1,237,2.6,0,2,0,0,0,0,0.3,0.3,0.2,3,5,10
2021-2022,Pascal Groß,de GER,MFDF,Brighton,30,1991,29,24,2038,22.6,2,4,0,1,1,0,2.9,2.1,5.5,39,149,141
2021-2022,Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,30,30,2655,29.5,0,0,0,0,2,0,0,0,0,0,0,0
2021-2022,Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,36,36,3222,35.8,2,1,0,0,4,0,2.5,2.5,1.3,17,111,7
2021-2022,Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,17,11,1034,11.5,5,1,0,0,4,0,3.1,3.1,1.1,18,54,15
2021-2022,İlkay Gündoğan,de GER,MF,Manchester City,30,1990,27,20,1857,20.6,8,4,0,0,1,0,9,9,4.9,60,126,107
2021-2022,Angus Gunn,sct SCO,GK,Norwich City,25,1996,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Grant Hanley,sct SCO,DF,Norwich City,29,1991,33,33,2897,32.2,1,0,0,0,2,0,2.1,2.1,0.9,2,27,3
2021-2022,Jack Harrison,eng ENG,FWMF,Leeds United,24,1996,35,32,2639,29.3,8,1,0,0,3,0,4.4,4.4,3.2,120,89,234
2021-2022,Kortney Hause,eng ENG,DF,Aston Villa,26,1995,7,4,397,4.4,1,0,0,0,0,0,0.1,0.1,0,2,14,3
2021-2022,Kai Havertz,de GER,FWMF,Chelsea,22,1999,29,22,1809,20.1,8,3,0,0,3,0,8.7,8.7,2.2,64,62,203
2021-2022,Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26,1995,14,12,1002,11.1,1,0,0,0,5,0,0.4,0.4,0,3,15,10
2021-2022,Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,30,20,1816,20.2,5,1,0,0,2,0,4.4,4.4,1.3,66,57,114
2021-2022,Jordan Henderson,eng ENG,MF,Liverpool,31,1990,35,29,2597,28.9,2,5,0,0,3,0,1.5,1.5,3.5,54,245,116
2021-2022,Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,3,0,72,0.8,1,0,0,0,0,0,0.1,0.1,0,1,0,1
2021-2022,Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,2,180,2,0,0,0,0,0,0,0,0,0.2,0,0,0
2021-2022,Rico Henry,eng ENG,DF,Brentford,24,1997,34,33,2776,30.8,3,0,0,0,2,0,1.5,1.5,1.7,61,81,131
2021-2022,Son Heung-min,kr KOR,MFFW,Tottenham,29,1992,35,35,3006,33.4,23,7,0,0,2,0,15.9,15.9,7.5,116,90,242
2021-2022,Ki-Jana Hoever,nl NED,DFMF,Wolves,19,2002,8,4,308,3.4,0,0,0,0,1,0,0,0,0.1,9,5,22
2021-2022,Rob Holding,eng ENG,DF,Arsenal,25,1995,15,9,845,9.4,1,0,0,0,4,1,0.4,0.4,0,4,23,0
2021-2022,Mason Holgate,eng ENG,DF,Everton,24,1996,25,23,2134,23.7,2,1,0,0,7,1,1.3,1.3,0.1,4,40,2
2021-2022,Callum Hudson-Odoi,eng ENG,MFFW,Chelsea,20,2000,15,11,962,10.7,1,2,0,0,1,0,2.5,2.5,2.1,67,41,102
2021-2022,Will Hughes,eng ENG,MF,Crystal Palace,26,1995,16,13,1053,11.7,0,1,0,0,6,0,0.1,0.1,0.6,5,38,7
2021-2022,Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,36,36,3196,35.5,2,2,0,0,3,0,1.9,1.9,2.3,46,242,47
2021-2022,Adam Idah,ie IRL,FWMF,Norwich City,20,2001,17,6,625,6.9,1,1,0,0,0,0,2.3,2.3,0.6,11,10,48
2021-2022,Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,26,13,1264,14,4,5,0,0,1,0,3.6,3.6,2.5,28,37,85
2021-2022,Danny Ings,eng ENG,FW,Aston Villa,29,1992,30,22,1898,21.1,7,6,1,1,4,0,7.1,6.3,1.6,24,39,117
2021-2022,Tim Iroegbunam,eng ENG,MF,Aston Villa,18,2003,3,1,92,1,0,0,0,0,1,0,0.1,0.1,0,1,4,0
2021-2022,Alex Iwobi,ng NGA,MFDF,Everton,25,1996,28,22,2035,22.6,2,2,0,0,1,0,2.3,2.3,2.6,44,103,104
2021-2022,Daniel James,wls WAL,FW,Manchester Utd,23,1997,2,2,126,1.4,0,0,0,0,0,0,0.2,0.2,0.3,5,3,16
2021-2022,Daniel James,wls WAL,FWMF,Leeds United,23,1997,32,29,2366,26.3,4,4,0,0,7,1,6.1,6.1,2.9,69,57,186
2021-2022,Reece James,eng ENG,DF,Chelsea,21,1999,26,22,1864,20.7,5,9,0,0,4,1,3.1,3.1,5.9,52,149,203
2021-2022,Vitaly Janelt,de GER,MF,Brentford,23,1998,31,27,2298,25.5,4,0,0,0,3,0,2.4,2.4,1.9,25,103,60
2021-2022,Pontus Jansson,se SWE,DF,Brentford,30,1991,37,37,3321,36.9,3,1,0,0,7,0,3,3,0.3,4,67,5
2021-2022,Mathias Jensen,dk DEN,MF,Brentford,25,1996,31,19,1601,17.8,0,1,0,0,0,0,2.9,2.9,3.2,14,103,54
2021-2022,Gabriel Jesus,br BRA,FW,Manchester City,24,1997,28,21,1877,20.9,8,8,1,1,1,0,9.8,9,5.7,51,55,220
2021-2022,Raúl Jiménez,mx MEX,FW,Wolves,30,1991,34,30,2631,29.2,6,4,1,1,9,2,6.1,5.4,3.1,40,65,163
2021-2022,João Pedro,br BRA,FWMF,Watford,19,2001,28,15,1644,18.3,3,1,0,0,1,0,3.6,3.6,2.8,54,77,102
2021-2022,Joelinton,br BRA,MFFW,Newcastle Utd,24,1996,35,30,2558,28.4,4,1,0,0,8,0,3.3,3.3,1.9,45,92,90
2021-2022,Ben Johnson,eng ENG,DF,West Ham,21,2000,20,16,1397,15.5,1,0,0,0,1,0,0.2,0.2,0.6,23,64,67
2021-2022,Curtis Jones,eng ENG,MF,Liverpool,20,2001,15,10,851,9.5,1,1,0,0,0,0,0.9,0.9,0.6,25,58,54
2021-2022,Phil Jones,eng ENG,DF,Manchester Utd,29,1992,4,2,163,1.8,0,0,0,0,0,0,0,0,0,1,2,0
2021-2022,Jorginho,it ITA,MF,Chelsea,29,1991,29,26,2273,25.3,6,2,6,7,5,0,5.8,0.3,2.7,18,178,19
2021-2022,Diogo Jota,pt POR,FW,Liverpool,24,1996,35,27,2364,26.3,15,4,0,0,3,0,16.3,16.3,5.8,74,87,191
2021-2022,James Justin,eng ENG,DF,Leicester City,23,1998,13,11,998,11.1,0,0,0,0,0,0,0.3,0.3,1,23,44,52
2021-2022,Mathias Jørgensen,dk DEN,DF,Brentford,31,1990,8,6,518,5.8,1,0,0,0,2,0,0.1,0.1,0.3,5,18,1
2021-2022,Ozan Kabak,tr TUR,DF,Norwich City,21,2000,11,11,922,10.2,0,0,0,0,2,0,0.3,0.3,0,9,20,0
2021-2022,Christian Kabasele,be BEL,DF,Watford,30,1991,16,12,1193,13.3,0,0,0,0,0,0,0.9,0.9,0.2,5,21,1
2021-2022,Samuel Kalu,ng NGA,FW,Watford,23,1997,4,2,222,2.5,0,0,0,0,0,0,0.4,0.4,0.1,7,8,18
2021-2022,Hassane Kamara,ci CIV,DF,Watford,27,1994,19,18,1623,18,1,0,0,0,5,1,0.2,0.2,0.6,32,55,25
2021-2022,Harry Kane,eng ENG,FW,Tottenham,28,1993,37,36,3232,35.9,17,9,4,4,5,0,18.6,15.4,9.1,87,143,212
2021-2022,N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,26,21,1773,19.7,2,4,0,0,2,0,1.5,1.5,2.1,72,159,62
2021-2022,Edo Kayembe,cd COD,MF,Watford,23,1998,13,9,799,8.9,0,0,0,0,0,0,0.1,0.1,0.3,9,47,8
2021-2022,Moise Kean,it ITA,FW,Everton,21,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Michael Keane,eng ENG,DF,Everton,28,1993,32,31,2792,31,3,2,0,0,4,1,1.2,1.2,1.6,9,79,4
2021-2022,Naby Keïta,gn GUI,MF,Liverpool,26,1995,23,14,1173,13,3,1,0,0,3,0,2.2,2.2,1.9,39,75,42
2021-2022,Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Kenedy,br BRA,DF,Chelsea,25,1996,1,1,58,0.6,0,1,0,0,0,0,0,0,0.6,2,5,10
2021-2022,Jonjoe Kenny,eng ENG,DF,Everton,24,1997,15,11,1018,11.3,0,1,0,0,3,1,0.2,0.2,0.8,9,36,25
2021-2022,Max Kilman,eng ENG,DF,Wolves,24,1997,30,30,2687,29.9,1,0,0,0,3,0,1.1,1.1,0.2,31,95,7
2021-2022,Joshua King,no NOR,FW,Watford,29,1992,32,27,2248,25,5,3,1,1,5,0,8.9,8.1,3.8,41,39,157
2021-2022,Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Mateusz Klich,pl POL,MF,Leeds United,31,1990,33,26,2073,23,1,2,0,0,5,0,2.8,2.8,2.2,45,105,129
2021-2022,Robin Koch,de GER,MFDF,Leeds United,25,1996,20,17,1574,17.5,0,0,0,0,3,0,0.8,0.8,0.4,3,52,14
2021-2022,Sead Kolašinac,ba BIH,DF,Arsenal,28,1993,2,1,91,1,0,0,0,0,1,0,0,0,0,0,0,0
2021-2022,Ibrahima Konaté,fr FRA,DF,Liverpool,22,1999,11,11,990,11,0,0,0,0,2,0,0.2,0.2,0,7,51,2
2021-2022,Ezri Konsa,eng ENG,DF,Aston Villa,23,1997,29,29,2477,27.5,2,0,0,0,6,2,1.6,1.6,0.3,8,45,7
2021-2022,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,31,1989,27,23,1974,21.9,0,1,0,0,3,0,0.5,0.5,0.8,7,54,9
2021-2022,Mateo Kovačić,hr CRO,MF,Chelsea,27,1994,25,16,1558,17.3,2,5,0,0,4,0,1.6,1.6,3.2,42,135,37
2021-2022,Emil Krafth,se SWE,DF,Newcastle Utd,26,1994,20,18,1634,18.2,0,1,0,0,5,0,0.3,0.3,1,29,50,24
2021-2022,Alex Král,cz CZE,MF,West Ham,23,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Tim Krul,nl NED,GK,Norwich City,33,1988,29,29,2610,29,0,0,0,0,1,0,0,0,0.6,0,1,0
2021-2022,Juraj Kucka,sk SVK,MF,Watford,34,1987,26,22,1920,21.3,1,1,0,0,5,1,3.2,3.2,0.9,21,60,31
2021-2022,Dejan Kulusevski,se SWE,MFFW,Tottenham,21,2000,18,14,1261,14,5,8,0,0,3,0,2.7,2.7,3.4,51,35,100
2021-2022,Alexandre Lacazette,fr FRA,FW,Arsenal,30,1991,30,20,1782,19.8,4,7,2,3,0,0,8.4,6,3,19,52,106
2021-2022,Adam Lallana,eng ENG,MF,Brighton,33,1988,24,18,1561,17.3,0,1,0,0,4,0,1.1,1.1,0.9,17,76,47
2021-2022,Tariq Lamptey,gh GHA,DFFW,Brighton,20,2000,30,16,1561,17.3,0,2,0,0,4,0,0.8,0.8,2.6,81,36,153
2021-2022,Manuel Lanzini,ar ARG,MFFW,West Ham,28,1993,30,19,1786,19.8,5,3,3,3,2,0,3.7,1.3,2.4,29,119,57
2021-2022,Aymeric Laporte,es ESP,DF,Manchester City,27,1994,33,33,2828,31.4,4,0,0,0,5,1,4.9,4.9,0.6,51,271,8
2021-2022,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27,1993,26,22,2058,22.9,1,0,0,0,5,0,0.9,0.9,0.4,0,18,5
2021-2022,Pierre Lees-Melou,fr FRA,MF,Norwich City,28,1993,33,27,2265,25.2,1,0,0,0,5,0,1.6,1.6,1.9,33,114,60
2021-2022,Aaron Lennon,eng ENG,MFFW,Burnley,34,1987,28,17,1551,17.2,2,0,0,0,2,0,1.1,1.1,0.5,38,19,77
2021-2022,Bernd Leno,de GER,GK,Arsenal,29,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Jamal Lewis,nir NIR,DF,Newcastle Utd,23,1998,5,4,262,2.9,0,0,0,0,1,0,0,0,0,3,7,7
2021-2022,Victor Lindelöf,se SWE,DF,Manchester Utd,27,1994,28,26,2355,26.2,0,2,0,0,4,0,0.2,0.2,0.6,14,72,3
2021-2022,Jesse Lingard,eng ENG,FWMF,Manchester Utd,28,1992,16,2,367,4.1,2,0,0,0,1,0,0.6,0.6,0.3,9,13,22
2021-2022,Valentino Livramento,eng ENG,DF,Southampton,18,2002,28,25,2202,24.5,1,1,0,0,2,0,1.4,1.4,2.7,79,80,118
2021-2022,Diego Llorente,es ESP,DF,Leeds United,27,1993,28,28,2340,26,3,0,0,0,7,0,1,1,0.1,20,97,1
2021-2022,Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38,38,3420,38,0,0,0,0,2,0,0,0,0.2,0,0,0
2021-2022,Giovani Lo Celso,ar ARG,MFFW,Tottenham,25,1996,9,2,238,2.6,0,0,0,0,0,0,0.6,0.6,0.7,10,8,15
2021-2022,Jürgen Locadia,nl NED,MFFW,Brighton,27,1993,1,0,23,0.3,0,0,0,0,0,0,0.2,0.2,0,0,0,0
2021-2022,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,25,1996,24,13,1394,15.5,0,2,0,0,1,0,1.2,1.2,2.4,69,108,53
2021-2022,Kevin Long,ie IRL,DF,Burnley,30,1990,6,4,410,4.6,0,0,0,0,1,0,0.2,0.2,0,1,4,0
2021-2022,Shane Long,ie IRL,FW,Southampton,34,1987,13,3,308,3.4,1,0,0,0,1,0,0.9,0.9,0.1,5,3,24
2021-2022,Sean Longstaff,eng ENG,MF,Newcastle Utd,23,1997,24,15,1464,16.3,1,1,0,0,1,0,0.7,0.7,0.8,2,43,15
2021-2022,Ademola Lookman,ng NGA,FWMF,Leicester City,23,1997,26,16,1453,16.1,6,0,0,0,2,0,4.5,4.5,1.9,43,54,139
2021-2022,Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,1,0
2021-2022,Imran Louza,ma MAR,MF,Watford,22,1999,20,17,1416,15.7,0,0,0,0,6,0,1.2,1.2,1.1,17,67,24
2021-2022,Matthew Lowton,eng ENG,DF,Burnley,32,1989,25,20,1772,19.7,1,2,0,0,3,1,0.7,0.7,2.1,21,74,39
2021-2022,Douglas Luiz,br BRA,MF,Aston Villa,23,1998,34,31,2715,30.2,2,3,0,0,7,0,2,2,2.5,28,105,44
2021-2022,Romelu Lukaku,be BEL,FW,Chelsea,28,1993,26,16,1589,17.7,8,0,1,1,1,0,6.6,5.8,3,29,19,125
2021-2022,Lyanco,br BRA,DF,Southampton,24,1997,15,9,911,10.1,0,0,0,0,2,0,0.3,0.3,0.1,3,18,1
2021-2022,Alexis Mac Allister,ar ARG,MFFW,Brighton,22,1998,33,22,2123,23.6,5,2,2,3,4,0,6.3,4,1.9,30,137,66
2021-2022,James Maddison,eng ENG,MFFW,Leicester City,24,1996,35,28,2459,27.3,12,8,0,0,3,0,7.5,7.5,5.1,53,136,141
2021-2022,Harry Maguire,eng ENG,DF,Manchester Utd,28,1993,30,28,2515,27.9,1,0,0,0,9,1,1.9,1.9,0.1,22,115,5
2021-2022,Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,28,15,1498,16.6,11,5,4,5,0,0,10.1,6.2,4.2,74,70,234
2021-2022,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,23,1997,8,2,268,3,0,0,0,0,0,0,0.1,0.1,0.3,2,15,8
2021-2022,Sadio Mané,sn SEN,FW,Liverpool,29,1992,34,32,2819,31.3,16,2,0,0,5,0,17.2,17.2,5.2,105,130,305
2021-2022,Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,19,15,1257,14,1,2,0,0,5,0,0.3,0.3,0.3,6,22,25
2021-2022,Fernando Marçal,br BRA,MFDF,Wolves,32,1989,18,17,1449,16.1,0,0,0,0,3,0,0.4,0.4,0.6,39,50,98
2021-2022,Solly March,eng ENG,DFFW,Brighton,27,1994,31,17,1746,19.4,0,2,0,0,1,0,1.2,1.2,2.3,71,69,148
2021-2022,Pablo Marí,es ESP,DF,Arsenal,27,1993,2,2,180,2,0,0,0,0,1,0,0.1,0.1,0.1,0,9,0
2021-2022,Anthony Martial,fr FRA,FW,Manchester Utd,25,1995,8,2,212,2.4,1,0,0,0,0,0,0.7,0.7,0,10,14,32
2021-2022,Martinelli,br BRA,FWMF,Arsenal,20,2001,29,21,1860,20.7,6,6,1,1,3,1,7.3,6.6,4.3,79,37,207
2021-2022,Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,36,3240,36,0,0,0,0,4,0,0,0,0,0,0,0
2021-2022,Adam Masina,ma MAR,DF,Watford,27,1994,15,13,1077,12,0,1,0,0,0,0,0.3,0.3,0.7,9,37,12
2021-2022,Arthur Masuaku,cd COD,DFFW,West Ham,27,1993,13,6,650,7.2,1,1,0,0,1,0,0.1,0.1,0.8,16,33,26
2021-2022,Juan Mata,es ESP,MF,Manchester Utd,33,1988,7,2,235,2.6,0,0,0,0,0,0,0.3,0.3,0.2,8,16,13
2021-2022,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,22,13,1145,12.7,5,1,0,0,2,0,5.8,5.8,1.3,16,6,46
2021-2022,Nemanja Matić,rs SRB,MF,Manchester Utd,32,1988,23,16,1382,15.4,0,4,0,0,3,0,0.2,0.2,2,32,98,7
2021-2022,Joël Matip,cm CMR,DF,Liverpool,29,1991,31,31,2790,31,3,3,0,0,2,0,3.4,3.4,1.3,55,186,7
2021-2022,Neal Maupay,fr FRA,FW,Brighton,24,1996,32,25,2276,25.3,8,2,1,2,7,0,8.7,7.1,2.4,21,48,164
2021-2022,Bryan Mbeumo,cm CMR,FW,Brentford,21,1999,35,34,2905,32.3,4,7,1,1,4,0,9.3,8.5,3.7,81,56,273
2021-2022,James McArthur,sct SCO,MF,Crystal Palace,33,1987,21,15,1439,16,0,3,0,0,4,0,0.3,0.3,1.4,29,84,22
2021-2022,James Mcatee,eng ENG,MFFW,Manchester City,18,2002,2,0,20,0.2,0,0,0,0,0,0,0.1,0.1,0,2,1,3
2021-2022,Kasey McAteer,eng ENG,FW,Leicester City,19,2001,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Liam McCarron,sct SCO,FW,Leeds United,20,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Alex McCarthy,eng ENG,GK,Southampton,31,1989,17,17,1530,17,0,0,0,0,1,0,0,0,0,0,0,0
2021-2022,John McGinn,sct SCO,MF,Aston Villa,26,1994,35,35,3090,34.3,3,4,0,0,8,0,1.5,1.5,5.3,52,196,67
2021-2022,Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-2022,Kenny McLean,sct SCO,MF,Norwich City,29,1992,31,29,2706,30.1,1,0,0,0,3,0,1.8,1.8,0.8,32,99,61
2021-2022,Dwight McNeil,eng ENG,MF,Burnley,21,1999,38,35,3107,34.5,0,1,0,0,1,0,2.3,2.3,4.6,93,104,112
2021-2022,Scott McTominay,sct SCO,MF,Manchester Utd,24,1996,30,28,2387,26.5,1,1,0,0,9,0,1.4,1.4,1.5,40,125,37
2021-2022,Ben Mee,eng ENG,DF,Burnley,31,1989,21,21,1839,20.4,3,0,0,0,3,0,2.3,2.3,1,3,38,2
2021-2022,Hannibal Mejbri,tn TUN,FW,Manchester Utd,18,2003,2,1,68,0.8,0,0,0,0,2,0,0.1,0.1,0,0,0,4
2021-2022,Benjamin Mendy,fr FRA,DF,Manchester City,27,1994,1,1,78,0.9,0,0,0,0,0,0,0,0,0.1,4,9,4
2021-2022,Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,34,3060,34,0,0,0,0,3,0,0,0,0,0,0,0
2021-2022,Nampalys Mendy,sn SEN,MF,Leicester City,29,1992,14,12,1032,11.5,0,0,0,0,3,0,0,0,0,9,36,8
2021-2022,Illan Meslier,fr FRA,GK,Leeds United,21,2000,38,38,3384,37.6,0,0,0,0,2,0,0,0,0,0,0,0
2021-2022,Luka Milivojević,rs SRB,MF,Crystal Palace,30,1991,15,9,774,8.6,0,0,0,0,1,0,0.3,0.3,0.7,2,37,4
2021-2022,James Milner,eng ENG,MFDF,Liverpool,35,1986,24,9,853,9.5,0,1,0,0,2,0,0.4,0.4,2.2,9,73,38
2021-2022,Yerry Mina,co COL,DF,Everton,26,1994,13,11,846,9.4,0,0,0,0,3,0,0.3,0.3,0,1,20,2
2021-2022,Takumi Minamino,jp JPN,FWMF,Liverpool,26,1995,11,1,186,2.1,3,0,0,0,1,0,1.6,1.6,0.5,2,5,15
2021-2022,Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,36,35,3189,35.4,1,3,0,0,11,0,1.6,1.6,1.6,23,91,17
2021-2022,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,36,35,3101,34.5,0,2,0,0,1,0,0.2,0.2,1.7,41,134,116
2021-2022,Jakub Moder,pl POL,MF,Brighton,22,1999,28,19,1701,18.9,0,3,0,0,1,0,2.6,2.6,2.2,42,89,102
2021-2022,Wesley Moraes,br BRA,FW,Aston Villa,24,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Tyler Morton,eng ENG,MF,Liverpool,18,2002,2,1,66,0.7,0,0,0,0,1,0,0,0,0,0,4,0
2021-2022,Mason Mount,eng ENG,MF,Chelsea,22,1999,32,27,2363,26.3,11,10,1,1,4,0,8,7.2,6.7,92,164,276
2021-2022,Lucas Moura,br BRA,FWMF,Tottenham,28,1992,34,19,1775,19.7,2,6,0,0,4,0,2.7,2.7,5,48,99,87
2021-2022,João Moutinho,pt POR,MF,Wolves,34,1986,35,34,2970,33,2,1,0,0,4,0,1.3,1.3,2.7,42,196,37
2021-2022,Bali Mumba,eng ENG,DF,Norwich City,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,1,1,0
2021-2022,Jacob Murphy,eng ENG,FWDF,Newcastle Utd,26,1995,33,13,1473,16.4,1,2,0,0,4,0,2.2,2.2,2.6,51,44,80
2021-2022,Enock Mwepu,zm ZAM,MF,Brighton,23,1998,18,12,996,11.1,2,4,0,0,2,0,2.1,2.1,1.6,22,27,44
2021-2022,Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,13,12,1055,11.7,1,0,0,0,0,0,0.5,0.5,0.8,8,27,27
2021-2022,Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,16,10,904,10,0,0,0,0,5,0,0,0,0,5,24,0
2021-2022,Wilfred Ndidi,ng NGA,MFDF,Leicester City,24,1996,19,18,1618,18,0,0,0,0,4,0,0.7,0.7,0,14,57,13
2021-2022,Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,9,6,484,5.4,1,1,0,0,1,0,0.4,0.4,0.4,14,21,25
2021-2022,Reiss Nelson,eng ENG,FW,Arsenal,21,1999,1,0,20,0.2,0,0,0,0,0,0,0.1,0.1,0,0,0,4
2021-2022,Pedro Neto,pt POR,FWMF,Wolves,21,2000,13,5,466,5.2,1,1,0,0,3,0,1.5,1.5,1,27,10,49
2021-2022,Rúben Neves,pt POR,MF,Wolves,24,1997,33,31,2661,29.6,4,2,0,0,9,0,1.1,1.1,3.1,34,202,19
2021-2022,Jeremy Ngakia,eng ENG,DF,Watford,20,2000,16,9,903,10,0,0,0,0,0,0,0.1,0.1,0.5,18,39,20
2021-2022,Saúl Ñíguez,es ESP,DFMF,Chelsea,26,1994,10,5,480,5.3,0,0,0,0,1,0,0.3,0.3,0.5,4,15,27
2021-2022,Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,21,8,835,9.3,5,1,0,0,3,0,4.4,4.4,2,27,21,66
2021-2022,Nicolas Nkoulou,cm CMR,DF,Watford,31,1990,3,2,168,1.9,0,0,0,0,0,0,0,0,0,0,2,0
2021-2022,Mark Noble,eng ENG,MF,West Ham,34,1987,11,3,332,3.7,1,0,1,2,0,0,1.6,0,0,2,14,3
2021-2022,Mathias Normann,no NOR,MF,Norwich City,25,1996,23,20,1645,18.3,1,2,0,0,6,0,0.9,0.9,1.8,16,75,8
2021-2022,Christian Nørgaard,dk DEN,MF,Brentford,27,1994,35,35,3054,33.9,3,4,0,0,8,0,3.8,3.8,3.3,17,169,31
2021-2022,Angelo Ogbonna,it ITA,DF,West Ham,33,1988,11,11,921,10.2,1,0,0,0,1,0,0.3,0.3,0,2,14,0
2021-2022,Michael Olise,fr FRA,FWMF,Crystal Palace,19,2001,26,12,1141,12.7,2,5,0,0,4,0,1.7,1.7,3.9,55,63,110
2021-2022,Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,5,4,382,4.2,1,0,0,0,1,0,0.2,0.2,0,6,14,1
2021-2022,Tyler Onyango,eng ENG,MF,Everton,18,2003,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Frank Onyeka,ng NGA,MF,Brentford,23,1998,20,12,1045,11.6,0,0,0,0,4,0,0.8,0.8,0.2,18,35,27
2021-2022,Divock Origi,be BEL,FW,Liverpool,26,1995,7,0,133,1.5,3,0,0,0,0,0,1.5,1.5,0,3,2,9
2021-2022,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,27,1993,17,9,785,8.7,2,1,0,0,0,0,1.3,1.3,1.1,34,61,63
2021-2022,Cole Palmer,eng ENG,FWMF,Manchester City,19,2002,4,1,123,1.4,0,0,0,0,0,0,0.4,0.4,0.2,3,3,15
2021-2022,Emerson Palmieri,it ITA,DF,Chelsea,26,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,1
2021-2022,Thomas Partey,gh GHA,MF,Arsenal,28,1993,24,23,2028,22.5,2,1,0,0,6,0,2.8,2.8,1,20,119,11
2021-2022,Nicolas Pépé,ci CIV,FWMF,Arsenal,26,1995,20,5,696,7.7,1,2,0,0,0,0,2.6,2.6,1.7,20,17,97
